Record #,Easting,Northing,Elev,Trend
,(m),(m),(m),(°)
439,362308,5267116,875,79
440,362321,5248014,831,150
441,362329,5245657,812,134
442,362489,5245460,814,145
443,363130,5245461,798,82
444,363169,5270870,794,112
445,363546,5243088,784,116
446,363780,5264017,870,79
447,363897,5246261,842,127
448,363997,5251186,837,83
449,364014,5267926,832,142
450,364071,5268910,896,160
451,364085,5268781,900,161.7
452,364101,5268684,896,166
453,364104,5246151,840,98
454,364114,5268562,897,152.1
455,364139,5268456,897,149
456,364140,5269707,842,112.4
457,364166,5264063,872,102
458,364231,5268396,893,102
459,364377,5246207,844,63
460,364702,5246433,846,55
461,364762,5244141,813,93
462,364827,5243962,813,60
463,364832,5244159,815,51
464,364879,5244210,814,42
465,364931,5254424,827,149.9
466,364997,5244075,814,54
467,365127,5243985,806,146
468,365137,5259111,839,66
469,365157,5267179,887,32
470,365164,5245523,834,36
471,365182,5246710,812,156
472,365234,5242877,809,47
473,365245,5245614,837,34
474,365246,5260644,836,154
475,365286,5245727,836,23
476,365341,5243578,810,149
477,365375,5245804,837,29
478,365398,5241345,808,146
479,365404,5279541,810,140
480,365426,5269216,896,109
481,365434,5243440,806,160
482,365446,5267421,893,48
483,365464,5276839,805,163
484,365494,5240623,810,39
485,365605,5241121,814,174
486,365641,5259761,847,131
487,365644,5263517,877,54
488,365649,5267538,893,46
489,365663,5266232,879,132
490,365786,5259505,848,123
491,365849,5263759,876,52
492,366009,5259316,846,130
493,366085,5264444,860,88
494,366143,5264854,873,131
495,366195,5263313,892,42
496,366225,5262799,862,69
497,366276,5259179,843,107
498,366299,5243178,804,95
499,366327,5260494,842,28
500,366347,5263194,894,35
501,366378,5263283,894,35
502,366391,5260254,846,46
503,366402,5271377,880,113
504,366443,5271333,880,126
505,366484,5261040,835,55
506,366663,5263630,865,84.9
507,366666,5260771,830,81
508,366724,5259609,844,88
509,366727,5260758,832,122
510,366758,5260729,834,134
511,366795,5259400,839,102
512,366815,5270637,859,157
513,366954,5259676,845,68.3
514,366966,5271136,870,134
515,366966,5271136,871,131.5
516,366996,5271097,870,153
517,367018,5267622,887,68.8
518,367124,5267649,887,91.1
519,367190,5259815,846,61
520,367397,5243680,830,81
521,367408,5274807,780,89
522,367515,5263910,871,85
523,367604,5243824,827,56
524,367618,5267077,889,145
525,367749,5266699,887,165
526,367857,5266504,883,136
527,368074,5271320,853,155
528,368096,5271398,850,24
529,368130,5271522,852,173.4
530,368130,5271522,852,175
531,368144,5261257,847,58
532,368170,5258724,838,40
533,368191,5243283,802,53
534,368215,5261403,849,56
535,368323,5274236,851,119
536,368513,5243239,796,70
537,368681,5272910,858,160
538,368703,5266819,868,111
539,368734,5263041,863,103
540,368766,5272691,869,153
541,368807,5266716,870,112
542,368811,5273854,795,24
543,368829,5258235,836,67
544,368901,5266631,872,149
545,369095,5265988,860,113
546,369265,5250811,812,83
547,369268,5270664,853,155
548,369331,5270564,859,137.8
549,369331,5270564,859,136
550,369353,5267039,887,104
551,369376,5244311,827,44
552,369376,5244311,828,42.3
553,369442,5244355,829,60.3
554,369514,5244383,826,60
555,369582,5267007,885,83
556,369681,5258180,874,31
557,369736,5270191,858,136
558,369979,5273022,846,150
559,370082,5260078,840,41
560,370122,5260055,840,47
561,370193,5265634,858,145
562,370284,5265533,857,134
563,370287,5267257,862,111
564,370311,5273572,798,64
565,370547,5265445,851,69
566,370566,5273448,796,97
567,370604,5265585,847,28
568,370620,5265382,848,66
569,370872,5265952,850,127
570,371076,5249923,815,120.8
571,371323,5244571,805,102.4
572,371323,5244571,805,102
573,371358,5262198,855,144
574,371457,5244550,801,114
575,371557,5244462,801,123
576,371562,5267841,858,125
577,371572,5274787,798,53
578,371591,5263368,861,99
579,371597,5263522,849,154
580,371601,5263516,848,152
581,371635,5267742,858,154
582,371639,5267729,858,162
583,371644,5267663,857,180
584,371645,5267662,857,178
585,371672,5271845,868,79
586,371715,5263279,848,121
587,371760,5255756,827,20
588,371826,5255556,828,101
589,371914,5271009,867,1
590,372040,5255492,828,72
591,372061,5255345,828,67
592,372114,5261031,855,80
593,372128,5274363,835,72
594,372202,5267437,858,118
595,372284,5270052,828,126
596,372307,5257458,836,122
597,372430,5257408,836,137
598,372461,5269419,818,74
599,372466,5271926,847,142
600,372489,5253416,823,90.3
601,372545,5256938,835,174
602,372571,5260640,851,55
603,372577,5257187,835,151
604,372644,5276397,834,129
605,372707,5253392,825,104
606,372722,5257074,835,153
